Complexity metrics,星期日, 29 十一月 2015 12:47:30 CST
Method,eV(g),iV(g),V'(g),V(g)
"null.compare(CategorySearchFacet,CategorySearchFacet)",1,1,1,1
"null.compare(Field,Field)",1,1,1,1
"null.compare(FieldGroup,FieldGroup)",1,1,1,1
"null.compare(ListGrid,ListGrid)",1,1,1,1
"null.compare(Node,Node)",1,4,6,6
"null.compare(Object,Object)",1,1,1,1
"null.compare(Tab,Tab)",1,1,1,1
"null.getAdminBaseUrl()",1,1,1,1
"null.getSiteBaseUrl()",1,1,1,1
"null.initialValue()",1,1,2,2
"org.broadleafcommerce.admin.server.service.AdminCatalogServiceImpl.cloneProduct(Long)",1,2,2,2
"org.broadleafcommerce.admin.server.service.AdminCatalogServiceImpl.generatePermutations(int,List<ProductOptionValue>,List<ProductOption>)",3,5,5,5
"org.broadleafcommerce.admin.server.service.AdminCatalogServiceImpl.generateSkusFromProduct(Long)",5,9,11,11
"org.broadleafcommerce.admin.server.service.AdminCatalogServiceImpl.isSamePermutation(List<ProductOptionValue>,List<ProductOptionValue>)",4,4,4,4
"org.broadleafcommerce.admin.server.service.extension.AdminCatalogServiceExtensionManager.AdminCatalogServiceExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.extension.CategoryCustomPersistenceHandlerExtensionManager.CategoryCustomPersistenceHandlerExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.extension.DefaultAdminCatalogExtensionHandler.getPriority()",1,1,1,1
"org.broadleafcommerce.admin.server.service.extension.DefaultAdminCatalogExtensionHandler.init()",1,2,2,2
"org.broadleafcommerce.admin.server.service.extension.DefaultAdminCatalogExtensionHandler.persistSkuPermutation(Product,List<List<ProductOptionValue>>,ExtensionResultHolder<Integer>)",3,3,4,4
"org.broadleafcommerce.admin.server.service.extension.ProductCustomPersistenceHandlerExtensionManager.ProductCustomPersistenceHandlerExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",1,3,3,3
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.canHandleInspect(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.getCurrentDefaultXref(Category)",4,3,4,4
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.getExistingDefaultCategory(Category)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.inspect(PersistencePackage,DynamicEntityDao,InspectHelper)",1,2,2,2
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.isDefaultCategoryLegacyMode()",2,2,2,2
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.removeOldDefault(Category,CategoryXref,Entity)",1,4,6,4
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.setupXref(Category)",1,3,4,3
"org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler.update(PersistencePackage,DynamicEntityDao,RecordHelper)",1,3,3,3
"org.broadleafcommerce.admin.server.service.handler.ChildCategoriesCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",2,1,2,2
"org.broadleafcommerce.admin.server.service.handler.ChildCategoriesCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,2,1
"org.broadleafcommerce.admin.server.service.handler.ChildCategoriesCustomPersistenceHandler.checkParents(Category,Category)",2,3,4,4
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",2,2,3,3
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,2,1
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.canHandleRemove(PersistencePackage)",1,1,2,1
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,2,1
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.remove(PersistencePackage,DynamicEntityDao,RecordHelper)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.update(PersistencePackage,DynamicEntityDao,RecordHelper)",1,2,2,2
"org.broadleafcommerce.admin.server.service.handler.CustomerCustomPersistenceHandler.validateUniqueUsername(Entity,Customer)",2,2,2,2
"org.broadleafcommerce.admin.server.service.handler.CustomerPasswordCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.CustomerPasswordCustomPersistenceHandler.update(PersistencePackage,DynamicEntityDao,RecordHelper)",2,1,2,2
"org.broadleafcommerce.admin.server.service.handler.ISOCountryPersistenceHandler.canHandleFetch(PersistencePackage)",1,1,1,1
